case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.19994722646881877,0.17304156720638275,-0.09852776676416397,-0.001601317897439003,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.29441602121237737,0.30269286036491394,-0.2116258442401886,-0.2078152894973755,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.41004713759948974,0.4852581322193146,-0.5410559773445129,-0.24762588739395142,-0.9059686326840193,-0.4085571881929415
