case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.11853761310137409,0.10739617049694061,-0.13111500442028046,-0.025297703221440315,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.19740052099198366,0.23008552193641663,-0.27088427543640137,-0.26887747645378113,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.3552018326591363,0.3799106180667877,-0.6592464447021484,-0.33191269636154175,-0.9059686326840193,-0.4085571881929415
