step,loss
1,-0.04567722603678703
100,-0.04360835626721382
200,-0.10583733022212982
300,-0.15523171424865723
400,-0.10635101050138474
500,-0.11967556178569794
600,-0.09925999492406845
700,-0.17162266373634338
800,-0.09168718755245209
900,-0.14223146438598633
1000,-0.18032002449035645
1100,-0.1297960877418518
1200,-0.07814550399780273
1300,-0.10985977202653885
1400,-0.10082589834928513
1500,-0.10057957470417023
1600,-0.07899223268032074
1700,-0.12249128520488739
1800,-0.11091294884681702
1900,-0.06375811249017715
2000,-0.12168081849813461
2100,-0.06396224349737167
2200,-0.08382950723171234
2300,-0.09878262877464294
2400,-0.18836891651153564
2500,-0.19779005646705627
2600,-0.04970899596810341
2700,-0.1288985162973404
2800,-0.08116412907838821
2900,-0.10338228940963745
3000,-0.16536597907543182
