case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.1188930160992972,0.14041514694690704,-0.13989312946796417,-0.01358761079609394,-0.15563097338111007,-0.027590475136874487
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.13567934208251917,0.18737442791461945,-0.2981283962726593,-0.28830859065055847,-0.3200203224163979,-0.3200203144023256
extrapolation,0.42,0.24,0.9,0.16,0.2938091383535143,0.31389859318733215,-0.7578126788139343,-0.34245091676712036,-0.9059686326488285,-0.4085571881209735
