step,loss
1,-0.11265425384044647
100,-0.11106838285923004
200,-0.07354779541492462
300,-0.12712332606315613
400,-0.14180290699005127
500,-0.13919053971767426
600,-0.16937413811683655
700,-0.0976187065243721
800,-0.16648170351982117
900,-0.1782647669315338
1000,-0.11224325001239777
1100,-0.12299254536628723
1200,-0.03850370645523071
1300,-0.1637258529663086
1400,-0.12056122720241547
1500,-0.10788834095001221
1600,-0.09428325295448303
1700,-0.08614126592874527
1800,-0.2289046049118042
1900,-0.2124459445476532
2000,-0.06479261070489883
2100,-0.1737309694290161
2200,-0.15295563638210297
2300,-0.14836721122264862
2400,-0.13442832231521606
2500,-0.1874571293592453
2600,-0.12704530358314514
2700,-0.14000754058361053
2800,-0.13091132044792175
2900,-0.1759752482175827
3000,-0.21551890671253204
