case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.15125084570738517,0.14224033057689667,-0.11782090365886688,-0.01924634911119938,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.23953316520764337,0.2543463110923767,-0.2510317862033844,-0.2475859373807907,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.3736219567076005,0.42538589239120483,-0.6096384525299072,-0.30806970596313477,-0.9059686326840193,-0.4085571881929415
