pde_type,metric,method1,method2,t_stat,p_raw,p_holm,mean1,mean2
burgers_hires,L2_error,Standard_PINN,RAR_D,-6.805442377609818,7.857077858039105e-05,0.0003142831143215642,0.01420116111378851,0.31960029033391957
burgers_hires,L2_error,Standard_PINN,PACMANN,-2.173040085560716,0.057826445438634626,0.11565289087726925,0.01420116111378851,0.06619703868948738
burgers_hires,L2_error,Standard_PINN,CARS,-8.083185332242804,2.0377091691047863e-05,0.00010188545845523931,0.01420116111378851,0.3031594945736635
burgers_hires,L2_error,RAR_D,PACMANN,4.001814338953172,0.003101926693396685,0.009305780080190056,0.31960029033391957,0.06619703868948738
burgers_hires,L2_error,RAR_D,CARS,0.21826091347015542,0.8320944704541787,0.8320944704541787,0.31960029033391957,0.3031594945736635
burgers_hires,L2_error,PACMANN,CARS,-10.214408825185908,2.9982080007357097e-06,1.798924800441426e-05,0.06619703868948738,0.3031594945736635
burgers_hires,Linf_error,Standard_PINN,RAR_D,-10.2678536849515,2.870324963902674e-06,1.4351624819513371e-05,0.1443789744946455,1.6231910488824635
burgers_hires,Linf_error,Standard_PINN,PACMANN,-2.927028273811632,0.016838196729509876,0.03367639345901975,0.1443789744946455,0.6597028707133116
burgers_hires,Linf_error,Standard_PINN,CARS,-12.238779835428456,6.509065102483016e-07,3.9054390614898096e-06,0.1443789744946455,1.250027751655196
burgers_hires,Linf_error,RAR_D,PACMANN,3.2940949842909837,0.009317263720421888,0.027951791161265664,1.6231910488824635,0.6597028707133116
burgers_hires,Linf_error,RAR_D,CARS,2.5042282049630766,0.03362771997205652,0.03367639345901975,1.6231910488824635,1.250027751655196
burgers_hires,Linf_error,PACMANN,CARS,-3.607516422653723,0.005681277779243735,0.02272511111697494,0.6597028707133116,1.250027751655196
convection,L2_error,Standard_PINN,RAR_D,-1.1252524945886009,0.2895940640567528,0.2895940640567528,0.03316382994658632,0.07007645404243923
convection,L2_error,Standard_PINN,PACMANN,-41.13462469680571,1.477670749918147e-11,8.866024499508883e-11,0.03316382994658632,0.721191833403824
convection,L2_error,Standard_PINN,CARS,-5.918470433689582,0.0002238913013235711,0.0008955652052942844,0.03316382994658632,0.5462065592120164
convection,L2_error,RAR_D,PACMANN,-18.60866500779107,1.7133241691395632e-08,8.566620845697816e-08,0.07007645404243923,0.721191833403824
convection,L2_error,RAR_D,CARS,-5.484033587776229,0.00038812913010456826,0.0011643873903137048,0.07007645404243923,0.5462065592120164
convection,L2_error,PACMANN,CARS,2.0463750999592096,0.07102904351920065,0.1420580870384013,0.721191833403824,0.5462065592120164
convection,Linf_error,Standard_PINN,RAR_D,-1.1195633760222592,0.2918873816973599,0.4321571297212534,0.06535071435165359,0.12371939450697225
convection,Linf_error,Standard_PINN,PACMANN,-42.05018633858778,1.2132188825699989e-11,7.279313295419993e-11,0.06535071435165359,1.1194494351914912
convection,Linf_error,Standard_PINN,CARS,-5.93820892472723,0.00021849591001753664,0.0008739836400701466,0.06535071435165359,0.9301406274608703
convection,Linf_error,RAR_D,PACMANN,-18.4470768015145,1.8498497874442193e-08,9.249248937221097e-08,0.12371939450697225,1.1194494351914912
convection,Linf_error,RAR_D,CARS,-5.546309868332819,0.00035812654571531664,0.00107437963714595,0.12371939450697225,0.9301406274608703
convection,Linf_error,PACMANN,CARS,1.3305002616599717,0.2160785648606267,0.4321571297212534,1.1194494351914912,0.9301406274608703
allen_cahn,L2_error,Standard_PINN,RAR_D,-8.861521919461874,9.691045800498669e-06,5.8146274802992016e-05,0.6001238852691302,0.9734085142325897
allen_cahn,L2_error,Standard_PINN,PACMANN,-4.461626976417672,0.0015735564841880575,0.007867782420940288,0.6001238852691302,0.875730949371504
allen_cahn,L2_error,Standard_PINN,CARS,-1.3925421585861448,0.19720001338178417,0.2144550658184586,0.6001238852691302,0.7342891468294935
allen_cahn,L2_error,RAR_D,PACMANN,1.7890760325568098,0.1072275329092293,0.2144550658184586,0.9734085142325897,0.875730949371504
allen_cahn,L2_error,RAR_D,CARS,3.2425028201798143,0.010118038474142148,0.040472153896568594,0.9734085142325897,0.7342891468294935
allen_cahn,L2_error,PACMANN,CARS,2.139413954524556,0.06107943182654409,0.18323829547963227,0.875730949371504,0.7342891468294935
allen_cahn,Linf_error,Standard_PINN,RAR_D,16.005308715393088,6.414040053360181e-08,3.8484240320161087e-07,1.6889173683191667,1.0234068719944345
allen_cahn,Linf_error,Standard_PINN,PACMANN,1.2198661695511321,0.25351621100709226,0.5070324220141845,1.6889173683191667,1.488267626526722
allen_cahn,Linf_error,Standard_PINN,CARS,2.4450849280437543,0.03705427426774218,0.11116282280322654,1.6889173683191667,1.441717725683915
allen_cahn,Linf_error,RAR_D,PACMANN,-3.041626691934099,0.013981049047553427,0.05592419619021371,1.0234068719944345,1.488267626526722
allen_cahn,Linf_error,RAR_D,CARS,-3.783041977279793,0.004328714158601772,0.02164357079300886,1.0234068719944345,1.441717725683915
allen_cahn,Linf_error,PACMANN,CARS,0.23457973908600546,0.8197846817105806,0.8197846817105806,1.488267626526722,1.441717725683915
