pde_type,method,seed,L2_error,Linf_error,training_time,source_shard
allen_cahn,CARS,42,0.9583918893209876,1.040646755560647,1310.7344058750004,production_results_shard_s42.csv
allen_cahn,CARS,123,0.5376966218583829,1.5822644184198438,1312.9929792500006,production_results_shard_s123.csv
allen_cahn,CARS,456,1.044726469792368,1.110182289934465,1315.4396737909992,production_results_shard_s456.csv
allen_cahn,CARS,777,0.6041901859896405,1.9023462360601304,1264.8939983750006,production_results_shard_pCD.csv
allen_cahn,CARS,789,0.9934150266355556,0.9994114767664326,1317.4198142500009,production_results_shard_s789.csv
allen_cahn,CARS,1024,0.984064993065752,1.0283195948876158,1311.4328747500003,production_results_shard_s1024.csv
allen_cahn,CARS,2025,0.5479239222561123,1.6514337609376275,1312.126862041001,production_results_shard_s2025.csv
allen_cahn,CARS,2718,0.5439441815488089,1.6065677950944717,1289.1295612089998,production_results_shard_pAB.csv
allen_cahn,CARS,9001,0.5650401902624865,1.74318438273319,458.54282041700026,production_results_shard_pCD.csv
allen_cahn,CARS,31415,0.56349798756484,1.7528205464447282,457.8732590840009,production_results_shard_pAB.csv
allen_cahn,PACMANN,42,0.793349312842903,1.963307320750636,1338.2720503330002,production_results_shard_s42.csv
allen_cahn,PACMANN,123,0.97867796899578,1.0113223043118245,1340.699817416,production_results_shard_s123.csv
allen_cahn,PACMANN,456,1.0698451032448524,2.1387574813763885,1341.7065493749997,production_results_shard_s456.csv
allen_cahn,PACMANN,777,0.9722813807424412,1.06682955531379,1343.499165542,production_results_shard_pCD.csv
allen_cahn,PACMANN,789,0.9732555957598626,1.049330113446032,1342.043491667,production_results_shard_s789.csv
allen_cahn,PACMANN,1024,0.9841501494053106,1.0305905807667313,1344.0552121660005,production_results_shard_s1024.csv
allen_cahn,PACMANN,2025,0.7395237303741079,1.953658640063695,1345.6020024169993,production_results_shard_s2025.csv
allen_cahn,PACMANN,2718,0.538344172121031,1.6580734799470207,1340.352529875001,production_results_shard_pAB.csv
allen_cahn,PACMANN,9001,0.7309366622378921,1.9578497406610724,463.58777866700075,production_results_shard_pCD.csv
allen_cahn,PACMANN,31415,0.9769454179908588,1.05295704863003,462.4379885420003,production_results_shard_pAB.csv
allen_cahn,RAR_D,42,0.955794623931917,1.004116334109244,1273.0998287500006,production_results_shard_s42.csv
allen_cahn,RAR_D,123,0.9833876227898644,1.0138303296195528,1269.0149098330005,production_results_shard_s123.csv
allen_cahn,RAR_D,456,0.9690002074280056,1.0011158301211884,1268.8320052909994,production_results_shard_s456.csv
allen_cahn,RAR_D,777,0.9672702460700724,0.99966315188879,1272.7535267499998,production_results_shard_pCD.csv
allen_cahn,RAR_D,789,0.977381004515232,1.0414037015192936,1265.665712625001,production_results_shard_s789.csv
allen_cahn,RAR_D,1024,0.9606575694125304,1.0182414949821663,1259.327903417,production_results_shard_s1024.csv
allen_cahn,RAR_D,2025,0.9698248415970168,1.0383582981787882,1260.8337608330005,production_results_shard_s2025.csv
allen_cahn,RAR_D,2718,0.9772837036776642,1.0114571250458966,1264.3395925839995,production_results_shard_pAB.csv
allen_cahn,RAR_D,9001,1.014614294983088,1.0701711543740795,441.059436083,production_results_shard_pCD.csv
allen_cahn,RAR_D,31415,0.958871027920505,1.0357113001053466,440.5321374590003,production_results_shard_pAB.csv
allen_cahn,Standard_PINN,42,0.5393789726557137,1.5417623005026395,1178.0439795829998,production_results_shard_s42.csv
allen_cahn,Standard_PINN,123,0.9787100494360076,1.984522621659184,1176.9625676659998,production_results_shard_s123.csv
allen_cahn,Standard_PINN,456,0.5442978458872781,1.623520488556827,1173.2191460839997,production_results_shard_s456.csv
allen_cahn,Standard_PINN,777,0.5587391943146448,1.6822906087006586,1181.5296831249998,production_results_shard_pCD.csv
allen_cahn,Standard_PINN,789,0.5490182917608386,1.6137346575822575,1175.5322840420004,production_results_shard_s789.csv
allen_cahn,Standard_PINN,1024,0.5504291680731762,1.6351024458970551,1174.2861369580005,production_results_shard_s1024.csv
allen_cahn,Standard_PINN,2025,0.6321921022939699,1.8528181737165828,1176.415625834,production_results_shard_s2025.csv
allen_cahn,Standard_PINN,2718,0.5410938138318221,1.6228889773454325,1179.694164292,production_results_shard_pAB.csv
allen_cahn,Standard_PINN,9001,0.5559506014051746,1.7178673694695137,435.9387244999998,production_results_shard_pCD.csv
allen_cahn,Standard_PINN,31415,0.5514288130326758,1.614666039761517,435.2085750839997,production_results_shard_pAB.csv
burgers_hires,CARS,42,0.3097380349405317,0.9145932084883786,1023.9607066669996,production_results_shard_s42.csv
burgers_hires,CARS,123,0.197874811366812,1.3054717452538986,1026.0802683340005,production_results_shard_s123.csv
burgers_hires,CARS,456,0.567674364904402,1.7001066748112388,1025.3615371249998,production_results_shard_s456.csv
burgers_hires,CARS,777,0.3782885588469195,1.0210663643623548,1010.8811227499996,production_results_shard_pCD.csv
