case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.20939568026733682,0.20494528114795685,-0.09934645146131516,0.003076378256082535,-0.1556309673723649,-0.027590468365720554
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.3013256119383531,0.31158220767974854,-0.22265678644180298,-0.204487606883049,-0.320020232225097,-0.32002010839687467
extrapolation,0.42,0.24,0.9,0.16,0.41675557965015964,0.4852805733680725,-0.5414711236953735,-0.23944677412509918,-0.9059661824340022,-0.4085532196377468
