step,loss
1,0.6459248065948486
100,-0.021062973886728287
200,-0.08493240177631378
300,-0.1494319885969162
400,-0.10555709898471832
500,-0.13111737370491028
600,-0.11873217672109604
700,-0.2032957375049591
800,-0.11531770974397659
900,-0.17465925216674805
1000,-0.23266462981700897
1100,-0.17093782126903534
1200,-0.1052962988615036
1300,-0.14848963916301727
1400,-0.13577993214130402
1500,-0.1372087001800537
1600,-0.1166970282793045
1700,-0.17423778772354126
1800,-0.1594269573688507
1900,-0.0977448970079422
2000,-0.16872280836105347
2100,-0.09540114551782608
2200,-0.12457288056612015
2300,-0.14502528309822083
2400,-0.24719452857971191
2500,-0.2576322853565216
2600,-0.09149274975061417
2700,-0.18237203359603882
2800,-0.12882158160209656
2900,-0.15931198000907898
3000,-0.231776624917984
3100,-0.20669353008270264
3200,-0.13819724321365356
3300,-0.15525196492671967
3400,-0.22203464806079865
3500,-0.19093060493469238
3600,-0.1836124211549759
3700,-0.2117338478565216
3800,-0.15000349283218384
3900,-0.2165175974369049
4000,-0.11218920350074768
4100,-0.17143084108829498
4200,-0.09524054825305939
4300,-0.1620124876499176
4400,-0.21818068623542786
4500,-0.23638537526130676
4600,-0.18796074390411377
4700,-0.12608015537261963
4800,-0.21923589706420898
4900,-0.18170487880706787
5000,-0.12859007716178894
