step,loss
1,-0.04567722603678703
100,-0.04658066853880882
200,-0.12080194801092148
300,-0.1805761456489563
400,-0.1277322620153427
500,-0.14483384788036346
600,-0.1229773461818695
700,-0.2021109014749527
800,-0.11458129435777664
900,-0.16992050409317017
1000,-0.21224445104599
1100,-0.1566096544265747
1200,-0.09935309737920761
1300,-0.1350192278623581
1400,-0.12460360676050186
1500,-0.1244053840637207
1600,-0.10064679384231567
1700,-0.14876972138881683
1800,-0.13549211621284485
1900,-0.0837661400437355
2000,-0.14739114046096802
2100,-0.08343995362520218
2200,-0.10601001977920532
2300,-0.12233371287584305
2400,-0.2215743213891983
2500,-0.23206831514835358
2600,-0.06822876632213593
2700,-0.1559101939201355
2800,-0.10298345983028412
2900,-0.12795963883399963
3000,-0.19612550735473633
