case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,2.0,0.26,0.7158001392544453,0.02848965860903263,0.1400052160024643,0.16758427023887634,0.08111825036160901,0.09251797526648327
symmetric_cluster,0.3333333333333333,0.3333333333333333,2.5,0.26,0.7243157364404305,0.03387504443526268,0.13601312041282654,0.1658526211977005,0.06038379384846555,0.06064383210555457
extrapolation,0.42,0.24,4.4,0.37,0.8615256183836099,0.2507052719593048,-0.06541096419095993,0.16461408138275146,-0.6824290408219792,-0.5526672751605647
