step,loss
1,3.1775481700897217
100,3.1577582359313965
200,3.1518421173095703
300,3.1617250442504883
400,3.1723408699035645
500,3.175877332687378
600,3.1766350269317627
700,3.2224864959716797
800,3.2083492279052734
900,3.1967992782592773
1000,3.1841626167297363
1100,3.1843485832214355
1200,3.1793508529663086
1300,3.20556902885437
1400,3.146808624267578
1500,3.200834035873413
1600,3.1963324546813965
1700,3.156223773956299
1800,3.219407558441162
1900,3.1922616958618164
2000,3.199929714202881
2100,3.18900465965271
2200,3.1772077083587646
2300,3.1623013019561768
2400,3.197749614715576
2500,3.1911396980285645
2600,3.1677210330963135
2700,3.169283390045166
2800,3.166044235229492
2900,3.177799940109253
3000,3.184206485748291
3100,3.1750879287719727
3200,3.174914598464966
3300,3.1704459190368652
3400,3.1681900024414062
3500,3.1619863510131836
3600,3.139482021331787
3700,3.1915464401245117
3800,3.1975338459014893
3900,3.1659584045410156
4000,3.185966968536377
4100,3.17067551612854
4200,3.1871516704559326
4300,3.161410331726074
4400,3.178825616836548
4500,3.167479991912842
4600,3.168726682662964
4700,3.1830010414123535
4800,3.219815254211426
4900,3.1471149921417236
5000,3.1703145503997803
