step,loss
1,-0.08407445251941681
100,-0.10838180780410767
200,-0.09597063809633255
300,-0.07808404415845871
400,-0.16862526535987854
500,-0.0917130708694458
600,-0.13493458926677704
700,-0.18155568838119507
800,-0.16843104362487793
900,-0.15808090567588806
1000,-0.03613157570362091
1100,-0.1852056384086609
1200,-0.15152466297149658
1300,-0.11288836598396301
1400,-0.08684669435024261
1500,-0.17214465141296387
1600,-0.20945563912391663
1700,-0.17608171701431274
1800,-0.11543748527765274
1900,-0.17478244006633759
2000,-0.13020485639572144
2100,-0.1345570981502533
2200,-0.1702747344970703
2300,-0.19261685013771057
2400,-0.1413796842098236
2500,-0.13852858543395996
2600,-0.09474825859069824
2700,-0.1716804802417755
2800,-0.13464874029159546
2900,-0.18628285825252533
3000,-0.1885833740234375
