step,loss
1,-0.11265425384044647
100,-0.15333645045757294
200,-0.11640045791864395
300,-0.16949652135372162
400,-0.18728125095367432
500,-0.18328890204429626
600,-0.22146764397621155
700,-0.13636934757232666
800,-0.21781381964683533
900,-0.2307342290878296
1000,-0.15316149592399597
1100,-0.16406545042991638
1200,-0.0649874284863472
1300,-0.2152673453092575
1400,-0.1642877161502838
1500,-0.14826875925064087
1600,-0.13216231763362885
1700,-0.12235572189092636
1800,-0.28783658146858215
1900,-0.267886757850647
2000,-0.09618353098630905
2100,-0.22318395972251892
2200,-0.19863328337669373
2300,-0.19415464997291565
2400,-0.17582039535045624
2500,-0.23938311636447906
2600,-0.16772277653217316
2700,-0.18144528567790985
2800,-0.17416724562644958
2900,-0.22559435665607452
3000,-0.2753487229347229
