case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.13339182756632423,0.15420277416706085,-0.13869711756706238,-0.014125188812613487,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.19012484814145816,0.294620543718338,-0.2767479121685028,-0.24754822254180908,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.4777929697339906,0.5077478289604187,-0.543549656867981,-0.2380165159702301,-0.9059686326840193,-0.4085571881929415
