case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.11902108409994541,0.10857543349266052,-0.13043160736560822,-0.0254179909825325,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.1992495802087854,0.2307138592004776,-0.2718648910522461,-0.26511967182159424,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.3470165849502685,0.37220558524131775,-0.6722267270088196,-0.3341137766838074,-0.9059686326840193,-0.4085571881929415
