case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.22017426788200986,0.20076613128185272,-0.0938045084476471,0.012394184246659279,-0.15563096737236295,-0.027590468365717814
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.31269889465888173,0.3185504376888275,-0.2138700783252716,-0.17390401661396027,-0.32002023222509746,-0.32002010839687756
extrapolation,0.42,0.24,0.9,0.16,0.41950609003160777,0.4933161735534668,-0.525504469871521,-0.2164524793624878,-0.9059661824340038,-0.4085532196377491
