case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.14968749389907318,0.1395542174577713,-0.1197180449962616,-0.018599024042487144,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.24159414137110383,0.2554108500480652,-0.24783927202224731,-0.24600061774253845,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.3799586026325437,0.43082067370414734,-0.5999975800514221,-0.30240651965141296,-0.9059686326840193,-0.4085571881929415
