step,loss
1,-0.11265425384044647
100,-0.14660362899303436
200,-0.10946743190288544
300,-0.15869590640068054
400,-0.17478232085704803
500,-0.1718904972076416
600,-0.2062426060438156
700,-0.12529440224170685
800,-0.20280268788337708
900,-0.2157423049211502
1000,-0.14190885424613953
1100,-0.1528548151254654
1200,-0.05840957537293434
1300,-0.2007686048746109
1400,-0.15233096480369568
1500,-0.13690651953220367
1600,-0.12173955887556076
1700,-0.11269420385360718
1800,-0.2704519033432007
1900,-0.2517271339893341
2000,-0.08688316494226456
2100,-0.20842546224594116
2200,-0.18520325422286987
2300,-0.18087047338485718
2400,-0.163840651512146
2500,-0.22393405437469482
2600,-0.155536487698555
2700,-0.1696205586194992
2800,-0.16049812734127045
2900,-0.21100950241088867
3000,-0.2566518485546112
