case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.6717472365287891,0.40950366854667664,0.05252029001712799,0.6169571876525879,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.7312319882893654,0.5346083045005798,-0.11813680082559586,0.933242678642273,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.7697042141367004,0.7092496752738953,-0.3745943307876587,1.2908093929290771,-0.9059686326840193,-0.4085571881929415
