case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.10674339861987825,0.13193140923976898,-0.14220702648162842,-0.014954525046050549,-0.15563097338111007,-0.027590475136874487
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.13022571260547972,0.1800205558538437,-0.2987883388996124,-0.2910935580730438,-0.3200203224163979,-0.3200203144023256
extrapolation,0.42,0.24,0.9,0.16,0.2841599835148758,0.30402135848999023,-0.7654236555099487,-0.3486754298210144,-0.9059686326488285,-0.4085571881209735
