step,loss
1,-0.09308112412691116
100,-0.25792840123176575
200,-0.10091264545917511
300,-0.21290066838264465
400,-0.14055687189102173
500,-0.21684563159942627
600,-0.13246814906597137
700,-0.14621619880199432
800,-0.2134348452091217
900,-0.22932444512844086
1000,-0.24970749020576477
1100,-0.2434045374393463
1200,-0.24198247492313385
1300,-0.1638914942741394
1400,-0.15148639678955078
1500,-0.16901922225952148
1600,-0.2847529649734497
1700,-0.18093565106391907
1800,-0.22855517268180847
1900,-0.18340319395065308
2000,-0.1343282014131546
2100,-0.14609338343143463
2200,-0.21404017508029938
2300,-0.1854133903980255
2400,-0.16808165609836578
2500,-0.17445936799049377
2600,-0.27921637892723083
2700,-0.21293973922729492
2800,-0.21625827252864838
2900,-0.12341557443141937
3000,-0.18774284422397614
3100,-0.17964261770248413
3200,-0.2660143971443176
3300,-0.05367729067802429
3400,-0.26558926701545715
3500,-0.18901929259300232
3600,-0.15342974662780762
3700,-0.26826906204223633
3800,-0.19759534299373627
3900,-0.16207268834114075
4000,-0.22693556547164917
4100,-0.16461710631847382
4200,-0.07965359091758728
4300,-0.13248924911022186
4400,-0.2200564444065094
4500,-0.18358947336673737
4600,-0.21532097458839417
4700,-0.19001799821853638
4800,-0.18958881497383118
4900,-0.17706632614135742
5000,-0.12420110404491425
