case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.21457194477659455,0.19654014706611633,-0.0930422693490982,0.0018984321504831314,-0.1556309673723649,-0.027590468365720554
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.30742958356874744,0.30869853496551514,-0.2165256291627884,-0.19829918444156647,-0.320020232225097,-0.32002010839687467
extrapolation,0.42,0.24,0.9,0.16,0.4172657541248165,0.4838097393512726,-0.5367714166641235,-0.2352910041809082,-0.9059661824340022,-0.4085532196377468
