case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.9977258862542796,0.698581337928772,1.2101174592971802,5.16881799697876,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.9958614279519844,0.8198990821838379,1.1769758462905884,5.196943759918213,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.9899448654368991,1.0172185897827148,1.0463056564331055,5.227201461791992,-0.9059686326840193,-0.4085571881929415
