case,projector_mean,projector_std,residual_mean,residual_std
interpolation,0.1999516286602944,0.0004939881496932056,0.17395097017288208,0.0004828863516321015
symmetric_cluster,0.2940730179040639,0.0005390336069932189,0.3024127284685771,0.00115186869799065
extrapolation,0.41189666746703746,0.0017235928528336515,0.4893808364868164,0.004673034356220182
