case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.5679828566994222,0.2763715088367462,-0.0426914319396019,0.27203434705734253,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.597781939507558,0.46189236640930176,-0.19159263372421265,0.3253900110721588,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.6490994604460352,0.7056891918182373,-0.3819544315338135,0.4147984981536865,-0.9059686326840193,-0.4085571881929415
