case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.20126348351270673,0.17451705038547516,-0.09724172949790955,-0.0015548598021268845,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.2943074924318187,0.3016359210014343,-0.21080441772937775,-0.20798681676387787,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.40931347715019367,0.48426297307014465,-0.5407857894897461,-0.246429443359375,-0.9059686326840193,-0.4085571881929415
