case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.14875976796174306,0.1391078233718872,-0.11968901753425598,-0.01870165765285492,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.24249087934486566,0.25611138343811035,-0.24995745718479156,-0.2451764941215515,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.3691126375418018,0.4273165166378021,-0.6222624182701111,-0.3057738244533539,-0.9059686326840193,-0.4085571881929415
