step,loss
1,-0.08407444506883621
100,-0.11988066136837006
200,-0.11965104937553406
300,-0.09970328956842422
400,-0.20167283713817596
500,-0.115953728556633
600,-0.164350688457489
700,-0.216655895113945
800,-0.20269975066184998
900,-0.18934789299964905
1000,-0.05418499931693077
1100,-0.22047120332717896
1200,-0.18263347446918488
1300,-0.14047497510910034
1400,-0.1108924150466919
1500,-0.20639953017234802
1600,-0.24853487312793732
1700,-0.2102644443511963
1800,-0.14220523834228516
1900,-0.20841926336288452
2000,-0.1583651751279831
2100,-0.16478896141052246
2200,-0.20495280623435974
2300,-0.2284647524356842
2400,-0.1714252233505249
2500,-0.16927528381347656
2600,-0.11883877217769623
2700,-0.20570728182792664
2800,-0.16428905725479126
2900,-0.22145052254199982
3000,-0.22626164555549622
