family,cutoff,delta_k,internal_gap,external_gap,g_xx,g_yy,g_xy,trace_F_xy_real,trace_F_xy_imag,projector_idempotency_fro,projector_hermiticity_fro,mode_policy
harmonic_honeycomb,4,0.02,4.555600791045222e-08,0.361487230181131,1.71025297930043,1.7102529793006291,0.8551263537686774,0.0,-5.644125108901628e-17,1.528707618064538e-15,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,4,0.01,4.555600791045222e-08,0.361487230181131,1.7113460983494149,1.711346098349069,0.8556732054542805,0.0,1.1866360744407296e-17,1.528707618064538e-15,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,4,0.005,4.555600791045222e-08,0.361487230181131,1.7116197049620931,1.711619704963295,0.8558100270437711,0.0,-5.04410903601175e-19,1.528707618064538e-15,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,6,0.02,7.405187574249794e-14,0.361487292372124,1.7102530651006942,1.7102530651015466,0.8551262210181343,0.0,-3.5339137301359936e-17,1.2170222462737295e-15,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,6,0.01,7.405187574249794e-14,0.361487292372124,1.7113461838992117,1.7113461838994921,0.8556730724752776,0.0,8.346185817187155e-18,1.2170222462737295e-15,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,6,0.005,7.405187574249794e-14,0.361487292372124,1.7116197904545944,1.7116197904549826,0.8558098940115328,0.0,4.4015493183889714e-17,1.2170222462737295e-15,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,8,0.02,1.479372180313021e-14,0.361487292372222,1.710253065100616,1.7102530651014398,0.855126221017407,0.0,1.6076711845288808e-18,9.90338909377172e-16,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,8,0.01,1.479372180313021e-14,0.361487292372222,1.7113461839005883,1.7113461839008146,0.855673072475692,0.0,-1.0253581205215044e-17,9.90338909377172e-16,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,8,0.005,1.479372180313021e-14,0.361487292372222,1.7116197904594919,1.711619790451636,0.8558098940112455,0.0,-9.304682255050707e-18,9.90338909377172e-16,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,10,0.02,9.492406860545088e-15,0.3614872923722426,1.7102530651000456,1.7102530651003593,0.8551262210167324,0.0,-7.443732696165409e-17,4.539592277110486e-16,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,10,0.01,9.492406860545088e-15,0.3614872923722426,1.7113461839001933,1.7113461838998394,0.855673072475507,0.0,4.5103603726322155e-17,4.539592277110486e-16,0.0,square_cartesian_not_symmetry_closed
harmonic_honeycomb,10,0.005,9.492406860545088e-15,0.3614872923722426,1.7116197904486135,1.7116197904626038,0.8558098940116158,0.0,-4.263783423926948e-17,4.539592277110486e-16,0.0,square_cartesian_not_symmetry_closed
gaussian_honeycomb,4,0.02,6.271454999352832e-06,0.10965703996840653,13.23326245252511,13.233262452522919,6.612274053320089,-3.124309606206612e-13,-5.409602460613772e-15,1.4809103898363216e-15,9.855659751493706e-17,square_cartesian_not_symmetry_closed
gaussian_honeycomb,4,0.01,6.271454999352832e-06,0.10965703996840653,13.406019015668752,13.406019015674174,6.6982625885060445,-6.050071615482892e-13,3.2723534210039965e-15,1.4809103898363216e-15,9.855659751493706e-17,square_cartesian_not_symmetry_closed
gaussian_honeycomb,4,0.005,6.271454999352832e-06,0.10965703996840653,13.449828214004562,13.449828214016025,6.7200664187482255,-2.2174114372776887e-12,-2.8157906251950417e-14,1.4809103898363216e-15,9.855659751493706e-17,square_cartesian_not_symmetry_closed
gaussian_honeycomb,6,0.02,3.7304362851244e-05,0.11354297382179343,12.346102275136573,12.346102275149267,6.168471517319657,-3.8905789297073054e-14,3.151025326391168e-15,1.2826129028940339e-15,1.1926571992275732e-16,square_cartesian_not_symmetry_closed
gaussian_honeycomb,6,0.01,3.7304362851244e-05,0.11354297382179343,12.496969122232212,12.496969122225948,6.24377333100213,-5.860994056495606e-13,-3.868735515522179e-15,1.2826129028940339e-15,1.1926571992275732e-16,square_cartesian_not_symmetry_closed
gaussian_honeycomb,6,0.005,3.7304362851244e-05,0.11354297382179343,12.535195203849634,12.53519520385309,6.262852293970683,-2.599877719685546e-12,-1.910979503956124e-14,1.2826129028940339e-15,1.1926571992275732e-16,square_cartesian_not_symmetry_closed
