case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.2076818443810009,0.2005401849746704,-0.09886184334754944,0.002668829634785652,-0.1556309673723649,-0.027590468365720554
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.3026562831760312,0.30572861433029175,-0.22218602895736694,-0.20510736107826233,-0.320020232225097,-0.32002010839687467
extrapolation,0.42,0.24,0.9,0.16,0.41729471739143714,0.4811709225177765,-0.5390241146087646,-0.23434793949127197,-0.9059661824340022,-0.4085532196377468
