case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.2106361821486463,0.21128585934638977,-0.10172644257545471,-0.0005311520071700215,-0.15563096737236295,-0.027590468365717814
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.304138639530257,0.3189725875854492,-0.21714657545089722,-0.19358713924884796,-0.32002023222509746,-0.32002010839687756
extrapolation,0.42,0.24,0.9,0.16,0.4142646831302778,0.49322718381881714,-0.5331240296363831,-0.22302134335041046,-0.9059661824340038,-0.4085532196377491
