case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.19,0.35,0.05,0.2469339854135303,0.1728925108909607,-0.09900639951229095,0.023654242977499962,-0.16485633622744678,-0.01155035838720173
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.334901753170789,0.24814718961715698,-0.2660995423793793,-0.15869489312171936,-0.32002023222509746,-0.32002010839687756
extrapolation,0.43,0.37,0.9,0.16,0.4799745175818766,0.4252079725265503,-0.5932584404945374,-0.16787093877792358,-0.9060550885197696,-0.4076233727336571
