case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.19,0.35,0.05,0.2750302933105828,0.33976227045059204,-0.25643831491470337,-0.09560639411211014,-0.1648547203760832,-0.011547630123357187
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.277233878014869,0.42635902762413025,-0.40307101607322693,-0.2890411913394928,-0.32000412253486993,-0.3199803200061204
extrapolation,0.43,0.37,0.9,0.16,0.38411541633294,0.5586552619934082,-0.7404522895812988,-0.3761942386627197,-0.9057658847977603,-0.4072672340563726
