step,loss
1,-0.11265425384044647
100,-0.1296444982290268
200,-0.0881139487028122
300,-0.1315799355506897
400,-0.1450626254081726
500,-0.1427142173051834
600,-0.17234282195568085
700,-0.10026770830154419
800,-0.1693897545337677
900,-0.18102504312992096
1000,-0.11530366539955139
1100,-0.1258324384689331
1200,-0.040660567581653595
1300,-0.16732172667980194
1400,-0.12369576841592789
1500,-0.11042304337024689
1600,-0.09672790765762329
1700,-0.08873391896486282
1800,-0.2292492538690567
1900,-0.21299201250076294
2000,-0.06502696871757507
2100,-0.17336121201515198
2200,-0.15276215970516205
2300,-0.14859038591384888
2400,-0.13403527438640594
2500,-0.18817971646785736
2600,-0.1276710480451584
2700,-0.14046190679073334
2800,-0.13151971995830536
2900,-0.17644843459129333
3000,-0.2164534032344818
3100,-0.09234358370304108
3200,-0.16595038771629333
3300,-0.19297342002391815
3400,-0.13181640207767487
3500,-0.17518338561058044
3600,-0.08778950572013855
3700,-0.19614177942276
3800,-0.1641625463962555
3900,-0.14993751049041748
4000,-0.12116087973117828
4100,-0.12307356297969818
4200,-0.1896783709526062
4300,-0.17148785293102264
4400,-0.20661237835884094
4500,-0.18935057520866394
4600,-0.14992685616016388
4700,-0.11800724267959595
4800,-0.20380789041519165
4900,-0.1489277333021164
5000,-0.17124974727630615
