case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.20100573338051017,0.17386114597320557,-0.0970727875828743,-0.0023070815950632095,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.2945522918201409,0.3027670383453369,-0.21167880296707153,-0.2078534960746765,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.40877387683790084,0.4829953908920288,-0.5421602129936218,-0.24575427174568176,-0.9059686326840193,-0.4085571881929415
