case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.5677630080654648,0.27684271335601807,-0.04290437698364258,0.27174311876296997,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.5979732159081107,0.46245822310447693,-0.19220876693725586,0.32697486877441406,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.6502276943129391,0.7104348540306091,-0.3773791193962097,0.4143418073654175,-0.9059686326840193,-0.4085571881929415
