step,loss
1,0.16590064764022827
100,0.1111033707857132
200,0.10756124556064606
300,0.11039546132087708
400,0.08825759589672089
500,0.10708721727132797
600,0.09280408918857574
700,0.07963378727436066
800,0.07925780117511749
900,0.0853859931230545
1000,0.11666494607925415
1100,0.07678477466106415
1200,0.09116683155298233
1300,0.09847639501094818
1400,0.10018261522054672
1500,0.07755781710147858
1600,0.07355146110057831
1700,0.07870370149612427
1800,0.09180130064487457
1900,0.07579721510410309
2000,0.09184059500694275
2100,0.08912231028079987
2200,0.09143960475921631
2300,0.07880410552024841
2400,0.08666236698627472
2500,0.09396737813949585
2600,0.10050584375858307
2700,0.07569847255945206
2800,0.08948908001184464
2900,0.07170970737934113
3000,0.07247596979141235
3100,0.10215979814529419
3200,0.09044981002807617
3300,0.09572656452655792
3400,0.08017095923423767
3500,0.08766407519578934
3600,0.10037895292043686
3700,0.10952423512935638
3800,0.10024821758270264
3900,0.09573622047901154
4000,0.08738161623477936
4100,0.0827745646238327
4200,0.09915371239185333
4300,0.0777236744761467
4400,0.09731709212064743
4500,0.11125694215297699
4600,0.0817142054438591
4700,0.08468512445688248
4800,0.09809794276952744
4900,0.07534752786159515
5000,0.07608956098556519
