case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.15336539397875823,0.17892582714557648,-0.12244601547718048,-0.013967135921120644,-0.15563097338111007,-0.027590475136874487
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.2376917669566972,0.24338363111019135,-0.261381059885025,-0.2547725439071655,-0.3200203224163979,-0.3200203144023256
extrapolation,0.42,0.24,0.9,0.16,0.38004342004188546,0.38838472962379456,-0.6334500312805176,-0.30188027024269104,-0.9059686326488285,-0.4085571881209735
