step,loss
1,0.4358029067516327
100,0.3016340434551239
200,0.18651607632637024
300,0.2501545250415802
400,0.26000356674194336
500,0.23635107278823853
600,0.3440804183483124
700,0.24343666434288025
800,0.2970195412635803
900,0.2956269085407257
1000,0.2832476794719696
1100,0.22855351865291595
1200,0.19342081248760223
1300,0.3927028775215149
1400,0.23665088415145874
1500,0.255990594625473
1600,0.25021225214004517
1700,0.1873958557844162
1800,0.3294585347175598
1900,0.3448288142681122
2000,0.25318148732185364
2100,0.29818710684776306
2200,0.2795190215110779
2300,0.2698219120502472
2400,0.23509496450424194
2500,0.34096887707710266
2600,0.2976524233818054
2700,0.21394601464271545
2800,0.3090660572052002
2900,0.34735026955604553
3000,0.3248871862888336
3100,0.1992412805557251
3200,0.2850210666656494
3300,0.34274449944496155
3400,0.25002625584602356
3500,0.2883221507072449
3600,0.2068120241165161
3700,0.2737410366535187
3800,0.2884557545185089
3900,0.24611060321331024
4000,0.22256965935230255
4100,0.21085231006145477
4200,0.3616672456264496
4300,0.34194836020469666
4400,0.2684720754623413
4500,0.3663160502910614
4600,0.302202433347702
4700,0.23233705759048462
4800,0.26827484369277954
4900,0.31450942158699036
5000,0.29367321729660034
