case,kx,ky,v0,delta,projector_sine_error,residual_rms,ritz_1,ritz_2,reference_1,reference_2
interpolation,0.31,0.35,0.35,0.05,0.6546525336109824,0.3538171947002411,0.16279956698417664,0.3764112889766693,-0.15563097338111417,-0.027590475136876406
symmetric_cluster,0.3333333333333333,0.3333333333333333,0.6,0.0,0.7045563045859853,0.4826003313064575,0.134485125541687,0.2882719933986664,-0.3200203224171185,-0.3200203144026018
extrapolation,0.42,0.24,0.9,0.16,0.7643369080034017,0.6915538311004639,0.014218799769878387,0.48314476013183594,-0.9059686326840193,-0.4085571881929415
