step,loss
1,-0.11265425384044647
100,-0.12964385747909546
200,-0.08811408281326294
300,-0.13157744705677032
400,-0.14506086707115173
500,-0.14271628856658936
600,-0.1723496913909912
700,-0.10026721656322479
800,-0.16938906908035278
900,-0.18101362884044647
1000,-0.11530721187591553
1100,-0.1258312463760376
1200,-0.040659792721271515
1300,-0.16732271015644073
1400,-0.12369241565465927
1500,-0.11042549461126328
1600,-0.09673507511615753
1700,-0.08873073011636734
1800,-0.22924256324768066
1900,-0.21298718452453613
2000,-0.06501904129981995
2100,-0.17335879802703857
2200,-0.15278184413909912
2300,-0.14858552813529968
2400,-0.13403823971748352
2500,-0.18737836182117462
2600,-0.12708480656147003
2700,-0.13985617458820343
2800,-0.13083502650260925
2900,-0.1756320595741272
3000,-0.21546010673046112
